Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Madagascar,Africa,27755708.0,12526,1980.5,134.0,300.0,10148.0,1706.0,2244.0,88.0,451.0,5.0,46301.0,1668.0
Sudan,Africa,43943536.0,11780,1980.5,763.0,300.0,6194.0,1706.0,4823.0,538.7768595041322,268.0,17.0,401.0,9.0
North Macedonia,Europe,2083365.0,11399,1980.5,517.0,300.0,7480.0,1706.0,3402.0,3.0,5471.0,248.0,109946.0,52773.0
Senegal,Africa,16783877.0,10715,1980.5,223.0,300.0,7101.0,1706.0,3391.0,33.0,638.0,13.0,114761.0,6838.0
Norway,Europe,5425471.0,9468,1980.5,256.0,300.0,8857.0,1706.0,355.0,3.0,1745.0,47.0,472841.0,87152.0
DRC,Africa,89802183.0,9309,1980.5,215.0,300.0,8048.0,1706.0,1046.0,538.7768595041322,104.0,2.0,1402404.7015706806,83959.3664921466
Malaysia,Asia,32406372.0,9038,1980.5,125.0,300.0,8713.0,1706.0,200.0,2.0,279.0,4.0,991333.0,30591.0
French Guiana,South America,299385.0,8127,1980.5,47.0,300.0,7240.0,1706.0,840.0,23.0,27146.0,157.0,41412.0,138324.0
Gabon,Africa,2230563.0,7787,1980.5,51.0,300.0,5609.0,1706.0,2127.0,11.0,3491.0,23.0,85369.0,38272.0
Tajikistan,Asia,9557468.0,7665,1980.5,62.0,300.0,6443.0,1706.0,1160.0,538.7768595041322,802.0,6.0,1402404.7015706806,83959.3664921466
Guinea,Africa,13164905.0,7664,1980.5,49.0,300.0,6757.0,1706.0,858.0,24.0,582.0,4.0,14407.0,1094.0
Haiti,North America,11416103.0,7544,1980.5,171.0,300.0,4832.0,1706.0,2541.0,538.7768595041322,661.0,15.0,18443.0,1616.0
Finland,Europe,5541604.0,7532,1980.5,331.0,300.0,6980.0,1706.0,221.0,538.7768595041322,1359.0,60.0,389500.0,70287.0
Zambia,Africa,18430129.0,7164,1980.5,199.0,300.0,5786.0,1706.0,1179.0,538.7768595041322,389.0,11.0,90307.0,4900.0
Luxembourg,Europe,626952.0,7073,1980.5,119.0,300.0,5750.0,1706.0,1204.0,9.0,11282.0,190.0,623994.0,995282.0
Mauritania,Africa,4660728.0,6444,1980.5,157.0,300.0,5291.0,1706.0,996.0,3.0,1383.0,34.0,57387.0,12313.0
Paraguay,South America,7141091.0,6375,1980.5,66.0,300.0,4974.0,1706.0,1335.0,23.0,893.0,9.0,135277.0,18943.0
Albania,Europe,2877470.0,6016,1980.5,188.0,300.0,3155.0,1706.0,2673.0,23.0,2091.0,65.0,38997.0,13553.0
Lebanon,Asia,6822220.0,5672,1980.5,70.0,300.0,1974.0,1706.0,3628.0,46.0,831.0,10.0,345268.0,50609.0
Croatia,Europe,4102577.0,5404,1980.5,155.0,300.0,4688.0,1706.0,561.0,7.0,1317.0,38.0,125317.0,30546.0
Djibouti,Africa,989387.0,5330,1980.5,59.0,300.0,5057.0,1706.0,214.0,538.7768595041322,5387.0,60.0,59909.0,60552.0
Greece,Europe,10417673.0,5123,1980.5,210.0,300.0,1374.0,1706.0,3539.0,14.0,492.0,20.0,619393.0,59456.0
Libya,Africa,6880353.0,4879,1980.5,107.0,300.0,652.0,1706.0,4120.0,538.7768595041322,709.0,16.0,59699.0,8677.0
Equatorial Guinea,Africa,1407001.0,4821,1980.5,83.0,300.0,2182.0,1706.0,2556.0,538.7768595041322,3426.0,59.0,44356.0,31525.0
Maldives,Asia,541448.0,4680,1980.5,19.0,300.0,2725.0,1706.0,1936.0,12.0,8643.0,35.0,85587.0,158071.0
CAR,Africa,4837752.0,4620,1980.5,59.0,300.0,1641.0,1706.0,2920.0,2.0,955.0,12.0,29589.0,6116.0
Hungary,Europe,9657785.0,4597,1980.5,600.0,300.0,3463.0,1706.0,534.0,8.0,476.0,62.0,352546.0,36504.0
Malawi,Africa,19174839.0,4491,1980.5,137.0,300.0,2137.0,1706.0,2217.0,4.0,234.0,7.0,33466.0,1745.0
Zimbabwe,Africa,14883803.0,4339,1980.5,84.0,300.0,1264.0,1706.0,2991.0,538.7768595041322,292.0,6.0,140421.0,9434.0
Nicaragua,North America,6632263.0,3902,1980.5,123.0,300.0,2913.0,1706.0,866.0,538.7768595041322,588.0,19.0,1402404.7015706806,83959.3664921466
Hong Kong,Asia,7503041.0,3850,1980.5,46.0,300.0,2458.0,1706.0,1346.0,39.0,513.0,6.0,692430.0,92287.0
Congo,Africa,5530506.0,3546,1980.5,58.0,300.0,1589.0,1706.0,1899.0,538.7768595041322,641.0,10.0,1402404.7015706806,83959.3664921466
Montenegro,Europe,628074.0,3480,1980.5,60.0,300.0,2178.0,1706.0,1242.0,538.7768595041322,5541.0,96.0,38427.0,61182.0
Thailand,Asia,69817894.0,3330,1980.5,58.0,300.0,3148.0,1706.0,124.0,1.0,48.0,0.8,749213.0,10731.0
Somalia,Africa,15933012.0,3227,1980.5,93.0,300.0,1728.0,1706.0,1406.0,2.0,203.0,6.0,1402404.7015706806,83959.3664921466
Mayotte,Africa,273419.0,3042,1980.5,39.0,300.0,2738.0,1706.0,265.0,2.0,11126.0,143.0,13000.0,47546.0
Eswatini,Africa,1161348.0,2968,1980.5,55.0,300.0,1476.0,1706.0,1437.0,5.0,2556.0,47.0,20784.0,17896.0
Sri Lanka,Asia,21422362.0,2839,1980.5,11.0,300.0,2541.0,1706.0,287.0,1.0,133.0,0.5,166737.0,7783.0
Cuba,North America,11325899.0,2775,1980.5,88.0,300.0,2409.0,1706.0,278.0,4.0,245.0,8.0,285471.0,25205.0
Cabo Verde,Africa,556581.0,2734,1980.5,27.0,300.0,2010.0,1706.0,697.0,538.7768595041322,4912.0,49.0,61633.0,110735.0
Namibia,Africa,2545264.0,2652,1980.5,15.0,300.0,563.0,1706.0,2074.0,24.0,1042.0,6.0,29233.0,11485.0
Mali,Africa,20302901.0,2552,1980.5,124.0,300.0,1954.0,1706.0,474.0,538.7768595041322,126.0,6.0,25152.0,1239.0
